Hello,Xin chào
Goodbye,Tạm biệt
Please,Làm ơn
Thank you,Cảm ơn
Yes,Có
No,Không
Sorry,Xin lỗi
Help,Giúp đỡ
Stop,Dừng lại
Go,Đi
Come,Đến
Wait,Chờ đợi
Eat,Ăn
Drink,Uống
Read,Đọc
Write,Viết
Speak,Nói
Listen,Nghe
See,Nhìn thấy
Watch,Xem
Love,Yêu
Like,Thích
Dislike,Không thích
Hate,Ghét
Friend,Bạn
Family,Gia đình
House,Nhà
Home,Nhà
School,Trường học
Teacher,Giáo viên
Student,Học sinh
Book,Sách
Pen,Bút
Pencil,Bút chì
Notebook,Sổ tay
Computer,Máy tính
Phone,Điện thoại
Car,Xe hơi
Bike,Xe đạp
Bus,Xe buýt
Train,Tàu hỏa
Plane,Máy bay
Ship,Tàu thủy
Boat,Thuyền
Street,Đường phố
Road,Con đường
City,Thành phố
Village,Làng
Country,Quốc gia
Mountain,Núi
River,Sông
Lake,Hồ
Sea,Biển
Ocean,Đại dương
Forest,Rừng
Tree,Cây
Flower,Hoa
Fruit,Trái cây
Vegetable,Rau củ
Bread,Bánh mì
Rice,Gạo
Meat,Thịt
Fish,Cá
Chicken,Gà
Egg,Trứng
Milk,Sữa
Water,Nước
Juice,Nước ép
Tea,Trà
Coffee,Cà phê
Sugar,Đường
Salt,Muối
Pepper,Tiêu
Spicy,Cay
Sweet,Ngọt
Sour,Chua
Bitter,Đắng
Happy,Vui
Sad,Buồn
Angry,Tức giận
Afraid,Sợ hãi
Tired,Mệt mỏi
Sleepy,Buồn ngủ
Hungry,Đói
Thirsty,Khát
Hot,Nóng
Cold,Lạnh
Warm,Ấm
Cool,Mát mẻ
Rain,Mưa
Snow,Tuyết
Wind,Gió
Sun,Mặt trời
Moon,Mặt trăng
Star,Ngôi sao
Sky,Bầu trời
Earth,Trái đất
Fire,Lửa
Air,Không khí
